rt,subj_idx,highDimCoh,irrDimCoh,lowDimCoh,errorLev,errorDim,response
1.932817154,1,1,-1,-1,2,2,2
0.916366454,1,1,1,-1,0,0,3
0.933072517,1,1,1,1,3,100,0
1.016463377,1,1,-1,1,0,0,3
1.616497969,1,-1,1,-1,1,1,1
0.999740109,1,1,-1,1,2,2,2
1.433061499,1,1,-1,-1,0,0,3
1.732799284,1,1,-1,-1,0,0,3
0.91641807,1,-1,-1,-1,2,2,2
0.666477006,1,-1,-1,1,0,0,3
0.816607902,1,-1,1,-1,0,0,3
1.066517272,1,-1,1,1,0,0,3
1.016265969,1,1,1,1,0,0,3
1.982752724,1,-1,1,-1,0,0,3
0.999968004,1,-1,1,1,0,0,3
1.966415217,1,-1,1,-1,0,0,3
0.949901734,1,-1,1,-1,0,0,3
0.933013053,1,-1,1,1,0,0,3
0.866596296,1,1,-1,-1,2,2,2
0.94975745,1,1,-1,1,0,0,3
0.866455937,1,1,-1,1,0,0,3
3.082370012,1,-1,1,-1,0,0,3
0.84996328,1,1,1,1,0,0,3
0.883208182,1,1,-1,1,0,0,3
0.749674684,1,-1,1,-1,0,0,3
1.182953815,1,-1,1,1,0,0,3
1.516149909,1,1,1,1,0,0,3
1.116603163,1,1,1,-1,2,3,2
1.832875984,1,-1,-1,1,0,0,3
1.616369684,1,1,-1,-1,0,0,3
0.899625981,1,1,-1,1,0,0,3
1.199700325,1,1,1,-1,0,0,3
2.132855851,1,-1,1,1,0,0,3
0.899917264,1,1,1,-1,2,3,2
1.333075958,1,-1,1,-1,2,3,2
2.23278223,1,1,1,1,0,0,3
1.016474244,1,-1,-1,1,0,0,3
1.382847323,1,1,-1,1,0,0,3
0.933156732,1,-1,-1,-1,0,0,3
1.083060941,1,1,-1,1,0,0,3
0.949745376,1,-1,1,1,0,0,3
0.933124133,1,-1,1,1,0,0,3
1.216232222,1,-1,-1,-1,2,3,2
0.96637809,1,1,-1,1,0,0,3
0.966515733,1,1,1,1,0,0,3
1.033171553,1,-1,-1,-1,2,3,2
1.666251827,1,-1,-1,1,0,0,3
0.916517378,1,-1,-1,1,0,0,3
0.783222339,1,1,-1,-1,2,3,2
0.94967082,1,-1,1,1,0,0,3
0.816578623,1,1,-1,-1,2,2,2
1.049712807,1,-1,1,1,2,3,2
1.366260792,1,-1,1,-1,0,0,3
2.232785852,1,-1,-1,-1,2,2,2
0.966415519,1,1,1,1,0,0,3
0.89969933,1,-1,-1,1,3,100,0
1.099719312,1,1,1,-1,2,2,2
1.516399838,1,-1,1,1,0,0,3
0.666572088,1,1,1,1,0,0,3
0.73310566,1,-1,-1,-1,0,0,3
1.133088575,1,1,-1,-1,0,0,3
0.98310649,1,1,1,1,2,3,2
1.482943341,1,1,1,-1,0,0,3
1.133412156,1,-1,-1,1,0,0,3
0.899582213,1,1,-1,1,0,0,3
0.84974595,1,1,1,1,2,3,2
0.849898081,1,1,1,1,0,0,3
0.866491857,1,1,-1,-1,2,3,2
1.966003497,1,-1,1,-1,1,1,1
1.183174466,1,1,-1,1,0,0,3
1.299768875,1,-1,1,-1,1,1,1
0.916255072,1,1,-1,-1,0,0,3
2.04936689,1,-1,-1,1,2,3,2
0.799916931,1,1,-1,1,0,0,3
0.733128902,1,-1,-1,1,0,0,3
1.549527321,1,-1,1,1,0,0,3
1.249495235,1,-1,-1,1,0,0,3
1.033164611,1,1,1,-1,2,3,2
0.966406162,1,1,1,1,2,3,2
0.849650868,1,1,-1,-1,2,3,2
2.032790018,1,-1,1,1,0,0,3
1.099471797,1,-1,1,-1,0,0,3
1.083021701,1,1,1,1,0,0,3
0.899532106,1,-1,-1,1,0,0,3
0.766493939,1,-1,-1,-1,1,1,1
1.049736049,1,1,1,-1,2,3,2
0.966418538,1,1,1,-1,0,0,3
0.899752455,1,1,-1,-1,3,100,0
1.332886699,1,-1,-1,-1,0,0,3
1.082937184,1,1,1,-1,2,2,2
0.933052897,1,1,1,1,0,0,3
1.249645254,1,-1,1,1,2,3,2
1.76594518,1,-1,1,-1,0,0,3
0.699977573,1,-1,-1,-1,2,3,2
1.732812867,1,-1,-1,-1,0,0,3
1.083065167,1,1,-1,1,0,0,3
0.699862569,1,1,-1,1,0,0,3
0.833067053,1,1,-1,-1,2,3,2
0.999869602,1,-1,-1,1,0,0,3
0.750053804,1,-1,-1,1,3,100,0
1.099658942,1,1,1,-1,0,0,3
1.482921306,1,-1,-1,-1,2,3,2
1.282878987,1,-1,1,-1,0,0,3
1.149593607,1,-1,1,1,2,3,2
1.166323214,1,1,-1,1,0,0,3
1.000085423,1,1,1,-1,2,3,2
1.416125127,1,1,-1,-1,0,0,3
1.016386708,1,1,1,-1,2,2,2
5.315194198,1,1,-1,-1,0,0,3
1.133154982,1,1,1,1,0,0,3
0.949701005,1,-1,-1,-1,0,0,3
1.132999832,1,1,-1,1,2,3,2
1.199818348,1,1,1,-1,0,0,3
0.83314161,1,-1,-1,-1,3,100,0
0.799822755,1,-1,1,-1,0,0,3
0.783195776,1,1,-1,-1,2,3,2
0.716562293,1,-1,1,-1,0,0,3
0.683048143,1,1,1,-1,0,0,3
0.849890233,1,-1,-1,1,0,0,3
0.883040959,1,-1,-1,1,2,3,2
0.900112861,1,-1,-1,-1,2,2,2
1.04978525,1,-1,1,-1,2,3,2
1.566365594,1,-1,1,1,2,3,2
0.916440709,1,-1,1,1,0,0,3
1.466264143,1,-1,-1,-1,1,1,1
1.099541222,1,1,1,-1,2,3,2
0.833000647,1,-1,-1,-1,3,100,0
1.049671756,1,-1,-1,1,0,0,3
1.632854794,1,1,1,1,0,0,3
2.099518885,1,1,1,1,0,0,3
0.949671424,1,1,1,-1,2,2,2
2.332666351,1,1,-1,1,0,0,3
1.399590815,1,1,-1,-1,2,3,2
3.848859423,2,1,1,-1,0,0,3
2.382568114,2,1,1,-1,0,0,3
7.297792074,2,1,1,-1,2,2,2
1.649681596,2,-1,1,1,1,3,1
