response,rxtime,subj,highDimCoh,irrDimCoh,lowDimCoh
1,0.783092846162617,1,2,2,1
1,0.616490422748029,1,1,1,2
3,1.18304135091603,1,1,2,1
3,0.766589927021414,1,2,1,2
1,0.849793038098142,1,1,1,2
3,0.9331081348937,1,1,1,1
3,0.833257821155712,1,1,1,1
3,0.766327621182427,1,2,2,2
4,2.61592113808729,1,2,2,1
1,1.04977619508281,1,2,2,2
2,1.24982485291548,1,1,1,1
4,2.16593352891505,1,1,2,2
3,1.11635594954714,1,1,1,1
2,1.58277343097143,1,1,2,1
2,4.86519059119746,1,2,1,2
2,1.26632807403803,1,2,2,1
1,1.11636077938601,1,2,1,1
4,1.09966437565163,1,1,2,1
4,0.966513921739534,1,1,2,2
2,1.23299593804404,1,1,2,2
3,1.11636077938601,1,1,2,2
3,2.13265572558157,1,1,1,2
1,1.5831643238198,1,2,1,2
2,2.18278236570768,1,1,2,2
4,1.29956482630223,1,1,1,2
3,1.61608926719055,1,1,1,2
3,1.14975751051679,1,2,2,2
3,1.36635617609136,1,1,1,1
3,0.916524924105033,1,1,2,2
1,1.36629701382481,1,2,1,1
2,0.883140568388626,1,2,2,2
4,1.18305704719387,1,2,2,2
3,0.799813397694379,1,2,1,2
4,1.99931933335029,1,1,2,2
4,1.0662718701642,1,1,2,2
1,1.23304242268205,1,1,1,1
4,2.09948115400039,1,1,1,2
1,2.21588177722879,1,2,2,1
3,1.11628833576106,1,1,2,2
4,0.883136644260958,1,1,2,1
3,1.3331375347916,1,2,2,2
2,1.11650053481571,1,2,2,2
3,0.716661600628868,1,2,2,2
1,1.39976920722984,1,2,1,1
1,1.36625475529581,1,1,2,1
3,1.00010896706954,1,1,1,1
3,0.833355619804934,1,1,2,2
3,1.11633542412892,1,2,1,1
3,0.649860289879143,1,1,1,2
4,1.03301308280788,1,1,1,1
2,1.14955889480188,1,2,2,2
4,0.966420650715008,1,1,1,2
4,0.916605819016695,1,2,1,1
2,1.01626234664582,1,1,1,1
1,1.18302957899868,1,1,1,1
2,1.84948666277342,1,2,2,2
1,0.949755639070645,1,1,1,1
4,0.899679407477379,1,2,2,1
2,0.84974202606827,1,1,2,1
1,0.866304107476026,1,2,1,2
3,1.79953479231335,1,2,1,1
